step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
279,601222.02,601222.02,0.0,0.0,601222.02,1
16,2361.83,0.0,0.0,0.0,0.0,0
230,3803.46,0.0,0.0,0.0,0.0,0
277,165801.83,11408.0,0.0,0.0,165801.83,0
301,40920.98,0.0,0.0,0.0,0.0,0
140,163798.62,202839.0,366637.62,0.0,0.0,0
190,24222.55,10872096.25,10896318.81,351272.75,327050.2,0
356,11046.03,0.0,0.0,0.0,0.0,0
235,243564.72,30788.0,0.0,8060516.26,8304080.98,0
160,95109.12,1010349.8,1105458.92,513281.91,418172.79,0
379,44999.08,0.0,0.0,0.0,0.0,0
211,1215.84,3026.0,1810.16,0.0,0.0,0
158,147540.41,0.0,0.0,514775.0,4318548.06,0
187,35152.53,0.0,0.0,53065.07,88217.6,0
187,21590.56,255399.0,276989.56,0.0,0.0,0
138,182355.11,6968800.08,7151155.19,6299162.28,6116807.17,0
544,19647.43,272096.58,252449.16,0.0,0.0,0
132,246603.3,0.0,0.0,3656203.95,4029146.2,0
15,34492.73,0.0,0.0,275281.09,475352.85,0
203,85240.88,0.0,0.0,413858.23,499099.11,0
373,51702.62,23859.0,75561.62,1655217.05,1603514.43,0
377,267146.65,21748.0,0.0,0.0,267146.65,0
256,68447.52,161084.46,92636.94,271424.84,339872.36,0
158,15707.42,0.0,0.0,0.0,0.0,0
396,46144.44,57654.8,11510.36,1222330.8,1268475.25,0
182,82228.18,0.0,0.0,866675.15,948903.34,0
164,63155.69,10155.0,0.0,2034793.2,2271354.97,0
159,1306.88,0.0,0.0,0.0,0.0,0
355,48347.99,233783.0,185435.01,75737.58,124085.57,0
236,4986.64,0.0,0.0,0.0,0.0,0
178,115.13,0.0,0.0,0.0,0.0,0
13,454859.39,0.0,0.0,0.0,454859.39,1
184,44265.44,23623.02,0.0,0.0,0.0,0
136,402127.07,135670.0,537797.07,2352386.11,2236738.2,0
133,131710.45,72148.0,203858.45,0.0,0.0,0
596,113001.59,498.0,0.0,413117.74,526119.34,0
635,1363674.48,1363674.48,0.0,0.0,1363674.48,1
85,1440705.58,1440705.58,0.0,0.0,0.0,1
349,107333.03,0.0,0.0,1104608.41,1211941.44,0
574,58863.89,58863.89,0.0,37515.88,96379.78,1
692,61867.33,0.0,0.0,281235.33,343102.66,0
239,6964.11,809879.0,802914.89,0.0,0.0,0
40,926530.84,25916.0,0.0,0.0,926530.84,0
335,265820.49,0.0,0.0,899770.81,1165591.3,0
328,163702.53,202906.0,39203.47,0.0,163702.53,0
142,73064.41,73064.41,0.0,187838.1,260902.5,1
300,6231.86,447115.94,440884.08,0.0,0.0,0
406,143785.53,10001.0,153786.53,773535.04,629749.52,0
358,34224.58,0.0,0.0,0.0,0.0,0
17,5416.26,42841.0,37424.74,13427.0,18843.26,0
255,1213.06,0.0,0.0,0.0,0.0,0
154,26519.5,3889154.51,3915674.01,331157.68,304638.18,0
131,20064.89,0.0,0.0,508000.42,528065.31,0
369,25212.62,1221688.42,1246901.04,1744488.84,1719276.22,0
18,16686.24,197696.96,214383.2,2895384.06,2878697.82,0
186,254688.91,1037415.25,1292104.16,607472.74,352783.82,0
260,3009.3,21061.0,18051.7,0.0,0.0,0
44,82615.04,105786.0,188401.04,337425.4,153978.73,0
340,92145.4,92145.4,0.0,388798.48,480943.88,1
403,147199.12,104379.0,251578.12,3511241.07,3364041.96,0
155,1772.38,0.0,0.0,0.0,0.0,0
235,9744.8,57960.05,48215.25,88130.58,97875.38,0
37,138027.83,18122.0,156149.83,1411754.18,1273726.35,0
167,279728.8,279728.8,0.0,0.0,0.0,1
185,228886.21,124842.0,353728.21,104407.13,0.0,0
252,64059.07,20388.0,0.0,56519.14,120578.21,0
158,6600.74,383.0,0.0,0.0,0.0,0
404,25679.25,50350.0,24670.75,0.0,0.0,0
35,295503.09,22065.0,0.0,408480.24,703983.33,0
308,2126.83,9257.0,7130.17,0.0,0.0,0
162,196551.78,0.0,0.0,788433.35,984985.14,0
131,15308.98,0.0,0.0,0.0,0.0,0
180,61855.73,25906976.66,25968832.39,3954422.44,3892566.7,0
309,148155.33,11213.0,0.0,0.0,148155.33,0
348,208377.22,150258.0,358635.22,7983176.95,7774799.73,0
687,464638.22,0.0,0.0,834150.79,1298789.0,0
330,287217.98,5040.0,0.0,100145.01,387363.0,0
548,63818.83,24195.0,0.0,1359280.02,1423098.85,0
180,26622.99,9814627.06,9841250.05,585744.21,559121.22,0
132,24853.12,6653.6,0.0,0.0,0.0,0
274,5052211.09,5052211.09,0.0,6890050.56,11942261.64,1
9,27033.66,0.0,0.0,0.0,0.0,0
378,3908.09,137906.57,133998.47,0.0,0.0,0
40,6700.46,0.0,0.0,0.0,0.0,0
613,86002.09,86002.09,0.0,0.0,0.0,1
184,312401.99,2036.0,0.0,0.0,312401.99,0
134,463830.46,131.0,463961.46,346742.32,0.0,0
183,108735.87,0.0,0.0,8203346.39,8312082.26,0
17,140757.83,413.0,141170.83,0.0,0.0,0
402,66374.45,0.0,0.0,113097.68,179472.13,0
38,3970.15,20951.44,16981.28,0.0,0.0,0
165,10328.94,427.0,0.0,0.0,0.0,0
252,48692.04,0.0,0.0,101070.14,149762.18,0
465,2577489.07,2577489.07,0.0,0.0,0.0,1
656,759669.25,0.0,0.0,2132850.22,2892519.47,0
722,59263.88,59263.88,0.0,1597464.29,1656728.17,1
254,759634.7,0.0,0.0,2212998.81,2972633.52,0
250,63780.57,0.0,0.0,305530.18,369310.75,0
226,82869.09,82869.09,0.0,104258.05,187127.14,1
374,82980.22,0.0,0.0,4755161.69,4838141.92,0
159,474052.54,474052.54,0.0,29256.42,503308.95,1
306,20436.0,49523.0,29087.0,0.0,0.0,0
133,37042.79,79558.0,42515.21,0.0,0.0,0
382,25122.92,337698.14,362821.06,990476.4,965353.49,0
134,1525742.02,1525742.02,0.0,0.0,0.0,1
332,45.35,31799.0,31753.65,0.0,0.0,0
138,699.86,0.0,0.0,1093274.84,1093974.69,0
153,412511.32,412511.32,0.0,41026.29,453537.61,1
103,639468.22,639468.22,0.0,185390.74,824858.96,1
373,530354.58,530354.58,0.0,4728783.51,5259138.09,1
394,23215.0,0.0,0.0,0.0,0.0,0
400,110757.49,45343.0,0.0,76003.31,186760.8,0
324,350682.66,30682.0,0.0,208599.74,559282.39,0
528,1016302.6,1016302.6,0.0,1149447.1,2165749.7,1
229,2536597.77,0.0,0.0,8941224.73,11477822.5,0
252,240521.56,0.0,0.0,16193203.19,16433724.75,0
228,417555.86,0.0,0.0,2263483.45,2681039.31,0
398,16280.7,125156.0,108875.3,0.0,0.0,0
45,369976.28,0.0,0.0,473399.55,843375.82,0
187,112045.22,45243.0,157288.22,283.0,0.0,0
301,1404615.7,0.0,0.0,9331735.52,10736351.22,0
356,197708.88,33760.0,231468.88,0.0,0.0,0
308,120509.74,9983656.15,10104165.89,225699.59,105189.85,0
672,234787.38,234787.38,0.0,0.0,0.0,1
400,49573.68,0.0,0.0,0.0,0.0,0
308,8835.08,288067.41,279232.34,0.0,0.0,0
237,1503034.86,1503034.86,0.0,18125.1,1521159.97,1
192,201.1,80664.0,80462.9,0.0,0.0,0
399,1442075.9,1442075.9,0.0,0.0,0.0,1
41,6181.62,0.0,0.0,0.0,0.0,0
39,389490.62,19888.0,0.0,130447.54,519938.16,0
278,10289.81,613975.76,603685.95,0.0,0.0,0
289,267119.44,0.0,0.0,6150157.47,6417276.9,0
327,16279.92,57229.98,40950.06,0.0,0.0,0
40,2396.45,0.0,0.0,0.0,0.0,0
291,2324907.08,2324907.08,0.0,157275.18,2482182.26,1
352,7596.77,295.0,0.0,0.0,0.0,0
500,149205.12,0.0,0.0,2657220.96,2806426.08,0
485,277485.25,277485.25,0.0,0.0,0.0,1
42,15203.22,23372.0,8168.78,0.0,0.0,0
164,4668.93,918.0,0.0,0.0,0.0,0
40,7447.09,0.0,0.0,0.0,0.0,0
278,244699.6,0.0,0.0,668632.57,913332.17,0
571,55225.29,8104520.07,8159745.36,1635647.27,1580421.98,0
374,26401.49,316945.0,290543.51,0.0,0.0,0
140,27057.86,7245942.35,7273000.21,6414193.29,6387135.43,0
40,12263.62,1103.0,0.0,0.0,0.0,0
349,8422.67,0.0,0.0,0.0,0.0,0
17,305627.0,305627.0,0.0,0.0,0.0,1
288,3914.39,6034.0,2119.61,0.0,0.0,0
158,14565.04,227882.11,213317.07,0.0,0.0,0
401,11993.69,1863.0,0.0,155703.77,167697.46,0
330,21376.15,21493.0,116.85,0.0,0.0,0
226,293364.22,39927.0,333291.22,121859.95,0.0,0
151,127091.33,127091.33,0.0,0.0,0.0,1
305,17523.48,49957.0,32433.52,0.0,0.0,0
35,25288.84,149.0,25437.84,0.0,0.0,0
181,36934.24,0.0,0.0,80140.9,117075.14,0
259,14374.09,31396.0,17021.91,0.0,14374.09,0
15,13291.43,5026604.57,5039896.01,99054.0,85762.57,0
352,3438.81,5225.0,1786.19,0.0,0.0,0
18,855886.83,428588.0,0.0,5725129.27,6581016.1,0
233,1470243.25,0.0,0.0,1834658.68,3091743.45,0
230,10538.8,151219.94,140681.14,0.0,0.0,0
355,17364.7,93693.0,76328.3,0.0,0.0,0
42,4289.18,21120.0,16830.82,0.0,0.0,0
328,11711.1,0.0,0.0,8002964.13,8014675.23,0
164,12854.74,0.0,0.0,0.0,0.0,0
104,125159.2,125159.2,0.0,0.0,0.0,1
180,76017.74,0.0,0.0,774558.44,850576.18,0
208,364445.49,0.0,0.0,470257.27,834702.76,0
275,8053.79,0.0,0.0,0.0,0.0,0
289,602807.17,602807.17,0.0,0.0,0.0,1
382,7075.18,12156.0,5080.82,0.0,0.0,0
34,342047.96,10359.0,0.0,1340244.62,1682292.59,0
184,838185.98,0.0,0.0,895860.26,1734046.24,0
133,12834.08,0.0,0.0,0.0,0.0,0
211,55920.39,55920.39,0.0,0.0,55920.39,1
210,548.33,0.0,0.0,2095623.95,2096172.28,0
188,96153.91,9216100.33,9312254.24,418291.06,322137.15,0
188,245435.05,45506.0,0.0,795220.23,756312.01,0
163,48878.08,0.0,0.0,3212913.84,3261791.92,0
328,156982.18,0.0,0.0,1164348.64,1321330.82,0
687,12119.09,0.0,0.0,0.0,0.0,0
259,108653.25,0.0,0.0,676450.48,785103.73,0
107,570649.33,570649.33,0.0,0.0,0.0,1
257,83762.92,10613.0,0.0,34885.17,418825.18,0
137,406040.16,21173.0,0.0,127522.9,533563.07,0
179,8764.24,128003.47,119239.23,150333.53,159097.77,0
377,529.74,50418.0,49888.26,801490.74,802020.48,0
187,295632.49,10087.0,0.0,0.0,295632.49,0
372,278686.52,6033.0,284719.52,240253.16,0.0,0
274,52160.2,1040.0,53200.2,114710.8,62550.59,0
43,278832.97,21168.0,0.0,3169643.91,3448476.87,0
324,40100.02,11329.0,0.0,0.0,0.0,0
308,134707.4,35693.0,0.0,0.0,134707.4,0
309,41333.8,231.0,41564.8,73158.91,31825.11,0
42,17534.15,0.0,0.0,0.0,0.0,0
404,10000000.0,10000000.0,0.0,358443.32,10358443.32,1
630,17484.29,17484.29,0.0,0.0,17484.29,1
142,72040.01,11842756.22,11914796.23,193561.31,121521.3,0
404,19173.1,109972.62,90799.53,0.0,0.0,0
38,182206.17,7922378.43,8104584.6,1284429.28,1102223.11,0
178,749.28,1075348.23,1074598.95,228257.95,229007.23,0
650,916886.3,916886.3,0.0,3233104.45,4149990.75,1
139,64338.14,20922.0,0.0,0.0,64338.14,0
94,51823.39,20955.0,72778.39,60389.17,8565.78,0
212,81369.36,51492.0,0.0,2074378.88,2155748.23,0
301,82665.47,82665.47,0.0,0.0,0.0,1
367,902483.91,902483.91,0.0,2271023.91,3173507.82,1
16,184279.86,20117.0,0.0,52402.12,236681.99,0
307,4048.64,0.0,0.0,0.0,0.0,0
1,20128.0,20128.0,0.0,0.0,0.0,1
322,328853.84,107071.0,0.0,8675851.08,9004704.92,0
136,344136.11,283.0,0.0,970870.51,1910823.9,0
668,1576531.53,1576531.53,0.0,0.0,1576531.53,1
120,544890.56,0.0,0.0,2053719.23,2598609.79,0
250,5589.33,19889.0,14299.67,0.0,0.0,0
34,30074.68,0.0,0.0,106954.0,84210.17,0
183,180265.15,5742.0,186007.15,3725591.68,3968938.3,0
594,80079.0,155170.79,75091.79,99853.14,179932.14,0
212,107626.44,10142.0,0.0,0.0,107626.44,0
433,673722.73,673722.73,0.0,0.0,0.0,1
352,169162.61,60413.0,0.0,80138.03,249300.63,0
153,309765.04,0.0,0.0,780336.65,1090101.69,0
722,59263.88,59263.88,0.0,0.0,0.0,1
180,124811.74,178.0,124989.74,3657581.7,3532769.95,0
163,37685.89,0.0,0.0,0.0,0.0,0
135,151578.33,15410.0,166988.33,3300823.76,3149245.43,0
371,40414.38,116399.0,75984.62,0.0,0.0,0
180,16511.42,89.0,0.0,0.0,0.0,0
187,214945.87,0.0,0.0,351613.59,566559.46,0
22,193470.16,1224.0,194694.16,2849132.07,2655661.91,0
523,5999376.79,5999376.79,0.0,197460.17,6196836.96,1
13,1046451.32,22138.0,0.0,0.0,1323917.28,0
325,233710.39,2597562.63,2831273.02,2981328.67,2747618.28,0
9,267173.82,0.0,0.0,3439268.34,3706442.17,0
271,279776.54,279776.54,0.0,0.0,0.0,1
130,281214.16,0.0,0.0,511007.07,792221.23,0
182,6549.75,36765.0,30215.25,0.0,0.0,0
349,4050.01,1205.0,0.0,0.0,0.0,0
262,328427.77,328427.77,0.0,49762.33,378190.1,1
259,209218.81,0.0,0.0,1195269.73,1404488.54,0
187,2975.04,0.0,0.0,0.0,0.0,0
527,350765.54,3238113.05,3588878.58,461357.72,110592.19,0
681,21057.49,16039.0,0.0,0.0,0.0,0
15,73490.54,950827.71,877337.17,97387.4,170877.94,0
356,352020.66,5702.0,0.0,741192.77,1093213.43,0
274,1626.7,0.0,0.0,0.0,0.0,0
42,23076.62,38092.85,15016.23,0.0,0.0,0
380,274816.89,19991.0,0.0,70481.34,345298.23,0
129,5950.68,49502.0,43551.32,0.0,0.0,0
492,261653.8,2617456.47,2879110.27,838409.83,576756.03,0
214,135304.81,0.0,0.0,792101.73,927406.54,0
309,2813.28,0.0,0.0,137811.13,140624.41,0
235,9486.98,50132.0,40645.02,0.0,0.0,0
195,127342.3,127342.3,0.0,0.0,0.0,1
612,346183.99,346183.99,0.0,115683.41,461867.4,1
121,130987.75,130987.75,0.0,0.0,0.0,1
233,690155.25,0.0,0.0,1728049.0,2418204.25,0
210,3457.34,0.0,0.0,0.0,0.0,0
156,340979.18,5066.0,0.0,1857733.29,2198712.47,0
282,536703.78,4589346.18,5126049.96,1200327.31,663623.52,0
282,49083.58,547677.0,498593.42,80737.76,129821.34,0
404,28317.43,15626.0,43943.43,4270019.58,4241702.15,0
719,67299.57,67299.57,0.0,303173.2,370472.77,1
14,49272.26,411.0,0.0,0.0,49272.26,0
397,358436.13,8785723.55,9144159.68,1210535.39,852099.26,0
222,211628.75,211628.75,0.0,0.0,0.0,1
17,274369.74,52881.0,0.0,92469.97,180122.3,0
45,17417.57,9895774.7,9913192.27,1808199.09,1790781.51,0
208,33635.56,1005.0,34640.56,126970.1,93334.54,0
11,722595.25,0.0,0.0,740888.34,1463483.59,0
43,21987.0,21987.0,0.0,123690.93,145677.94,1
72,730574.39,730574.39,0.0,183897.18,914471.57,1
284,441467.46,14877.0,0.0,782256.8,1223724.26,0
548,156089.45,4750814.27,4906903.72,403496.09,247406.64,0
160,138670.55,44847.0,0.0,0.0,138670.55,0
230,326787.89,262.0,0.0,4872504.48,5199292.37,0
269,32527.0,32527.0,0.0,0.0,0.0,1
167,279728.8,279728.8,0.0,707165.63,986894.43,1
382,7742.57,670919.0,663176.43,0.0,0.0,0
206,127606.13,1448.0,0.0,0.0,127606.13,0
252,870005.6,0.0,0.0,1456003.19,2326008.8,0
288,21511.22,21511.22,0.0,0.0,21511.22,1
35,37458.46,11490.0,48948.46,212842.45,175383.99,0
442,37323.15,37323.15,0.0,0.0,0.0,1
137,279152.37,104162.0,0.0,431815.24,710967.61,0
178,17073.05,79885.0,62811.95,0.0,0.0,0
250,160787.83,20565.0,0.0,64184.45,224972.28,0
153,6909.11,0.0,0.0,121632.07,128541.18,0
281,11547.74,0.0,0.0,138414.59,149962.34,0
274,262929.61,25656.0,0.0,383621.91,646551.52,0
162,1217981.02,102.0,0.0,563535.11,1781516.13,0
323,4472291.76,26549.0,0.0,134484.39,4606776.15,0
308,45858.49,0.0,0.0,68207.22,114065.72,0
283,98892.9,60968.0,0.0,0.0,98892.9,0
161,9000.17,0.0,0.0,655498.37,664498.53,0
184,96286.54,96286.54,0.0,0.0,96286.54,1
332,10772.79,99672.0,88899.21,0.0,0.0,0
36,125414.29,4344278.12,4469692.41,531484.03,406069.74,0
534,5870.47,25447.0,19576.53,0.0,0.0,0
281,58542.99,21168.0,0.0,2804896.91,2863439.9,0
186,215151.03,0.0,0.0,605742.76,820893.79,0
618,114483.78,114483.78,0.0,0.0,0.0,1
186,8461.78,0.0,0.0,0.0,0.0,0
10,118791.47,0.0,0.0,395598.15,514389.62,0
235,4171.01,82428.0,78256.99,0.0,0.0,0
204,9407.88,7170.0,0.0,0.0,9407.88,0
404,932691.0,932691.0,0.0,93390.82,1026081.82,1
332,99465.52,146889.0,47423.48,270629.9,370095.42,0
188,81356.53,0.0,0.0,1494634.79,1575991.33,0
528,392767.71,392767.71,0.0,90169.81,482937.52,1
275,8809.4,729.0,0.0,0.0,0.0,0
232,172564.22,0.0,0.0,2833095.8,3005660.02,0
131,12064.58,1004.0,0.0,0.0,0.0,0
687,297941.53,0.0,0.0,845542.29,1143483.81,0
228,1222152.4,0.0,0.0,1334225.7,2556378.11,0
264,2514878.33,2514878.33,0.0,1017845.77,3532724.1,1
377,10721.88,168808.85,158086.98,0.0,0.0,0
307,13842.15,20346.0,6503.85,0.0,0.0,0
183,22681.31,0.0,0.0,0.0,0.0,0
299,419591.76,24612.0,0.0,1604024.27,2023616.03,0
396,282990.34,0.0,0.0,1596613.03,1879603.37,0
203,200970.39,0.0,0.0,436746.26,637716.65,0
351,339044.42,4167585.47,4506629.89,356558.7,17514.28,0
349,25470.31,13171.0,0.0,967085.89,992556.21,0
94,150230.25,307.0,150537.25,698.0,0.0,0
161,247598.01,1281866.68,1529464.68,269208.98,21610.97,0
455,28708.4,5201497.45,5230205.85,507095.49,478387.09,0
403,38501.78,10574.0,0.0,0.0,0.0,0
210,370549.48,11368.0,0.0,1179604.55,1550154.04,0
605,147230.63,147230.63,0.0,0.0,147230.63,1
275,2806.29,22398.0,19591.71,0.0,0.0,0
380,119958.19,30235.0,0.0,0.0,119958.19,0
285,5794.81,22385.0,16590.19,0.0,0.0,0
307,260359.2,0.0,0.0,747751.45,1008110.65,0
167,5816.23,574389.0,568572.77,0.0,0.0,0
187,4809.52,0.0,0.0,0.0,0.0,0
398,54845.39,187966.0,133120.61,0.0,54845.39,0
236,371666.3,10890.0,0.0,0.0,371666.3,0
403,166541.75,48024.0,0.0,115191.72,281733.47,0
94,535114.54,1671105.15,2206219.69,1700072.23,1164957.69,0
211,293693.49,0.0,0.0,324929.66,618623.15,0
374,1174171.87,0.0,0.0,2253763.19,3427935.06,0
187,185112.75,185820.0,707.25,149770.46,334883.21,0
371,375360.62,0.0,0.0,1298796.8,1674157.41,0
711,2580055.17,2580055.17,0.0,1052911.87,3632967.05,1
37,209256.89,293.0,0.0,3149476.97,3358733.86,0
228,16681.8,0.0,0.0,0.0,0.0,0
208,405.36,53850.25,53444.9,0.0,0.0,0
227,53111.61,0.0,0.0,0.0,0.0,0
299,31720.6,26168.0,0.0,0.0,0.0,0
505,2979972.78,2979972.78,0.0,0.0,0.0,1
311,10380.75,22403.18,12022.43,0.0,0.0,0
160,28413.9,5772318.36,5800732.26,135941.92,107528.02,0
250,22737.24,492304.6,469567.37,0.0,0.0,0
281,1030417.74,1030417.74,0.0,0.0,1030417.74,1
326,333208.39,10787.0,0.0,435752.36,768960.75,0
229,6341.53,10759.0,4417.47,0.0,0.0,0
284,36420.22,765.0,0.0,0.0,36420.22,0
348,20694.57,0.0,0.0,183215.5,203910.07,0
355,11981.04,252.0,0.0,0.0,0.0,0
517,699183.61,699183.61,0.0,1355085.63,2054269.23,1
326,201061.8,0.0,0.0,800729.75,1001791.55,0
333,168637.42,0.0,0.0,243581.23,412218.66,0
383,8471.63,50633.0,42161.37,0.0,0.0,0
159,181242.48,0.0,0.0,302549.96,483792.45,0
38,439850.41,7053.0,0.0,2002784.11,2340037.72,0
218,957432.32,957432.32,0.0,0.0,0.0,1
260,40117.59,0.0,0.0,148401.27,188518.86,0
355,317490.5,0.0,0.0,2161861.51,2479352.01,0
404,21563.11,0.0,0.0,62320.92,83884.02,0
356,3715.19,10601.0,6885.81,0.0,0.0,0
55,309254.05,309254.05,0.0,0.0,0.0,1
157,14567.03,60016.0,45448.97,0.0,0.0,0
226,257551.78,0.0,0.0,465615.92,723167.7,0
405,11009.74,500507.22,489497.48,0.0,0.0,0
19,87459.82,0.0,0.0,2004723.65,2092183.47,0
687,431453.31,21855.0,0.0,13479.67,444932.97,0
353,392570.62,763.0,0.0,1045232.52,1437803.14,0
401,99080.74,26041.0,0.0,40292.63,139373.37,0
60,45807.51,45807.51,0.0,0.0,0.0,1
250,89067.89,2267167.8,2356235.69,95618.04,6550.15,0
206,37072.48,3349.0,0.0,0.0,37072.48,0
256,119704.46,5459305.6,5579010.07,326667.67,206963.21,0
131,393819.76,0.0,0.0,652074.39,1045894.15,0
305,84164.4,0.0,0.0,487737.82,571902.22,0
93,3723738.06,3723738.06,0.0,0.0,0.0,1
428,3028421.03,3028421.03,0.0,0.0,0.0,1
282,13377.02,0.0,0.0,0.0,0.0,0
166,583824.91,35003.65,0.0,729245.92,1313070.83,0
139,166055.64,121803.87,0.0,982565.22,1148620.87,0
252,70711.36,186439.0,115727.64,509931.75,580643.12,0
18,158494.67,9048625.48,9207120.15,1858299.29,1699804.62,0
522,126685.0,891.0,0.0,646681.54,773366.54,0
276,345901.76,0.0,0.0,1278956.15,1624857.91,0
163,7118.77,136627.48,129508.71,0.0,0.0,0
283,2283044.62,0.0,0.0,5918764.58,8201809.2,0
229,52738.46,6640519.51,6693257.97,176213.96,123475.49,0
207,7805.05,154.0,0.0,0.0,0.0,0
287,65799.96,11442195.82,11507995.78,602213.1,536413.14,0
154,20367.85,90853.05,70485.2,0.0,0.0,0
643,40651.96,40651.96,0.0,1737062.67,1777714.62,1
17,265776.52,0.0,0.0,2716623.0,2982399.53,0
285,202986.14,87513.0,0.0,0.0,202986.14,0
184,180084.73,6429.0,0.0,0.0,180084.73,0
231,106677.44,0.0,0.0,1198005.63,1304683.07,0
184,39905.21,144343.0,104437.79,0.0,39905.21,0
210,1019.42,31185.0,32204.42,34715.01,33695.59,0
18,123801.79,10558922.17,10682723.96,413868.26,488749.41,0
204,304306.5,49962.0,0.0,1238814.34,1543120.85,0
394,17820.24,300084.0,282263.76,2408655.93,2426476.17,0
730,10000000.0,57316255.05,47316255.05,0.0,0.0,1
258,32741.82,57283.0,24541.18,0.0,32741.82,0
140,140.23,557.0,416.77,0.0,0.0,0
239,1269.71,420.92,0.0,0.0,0.0,0
182,138839.7,405259.73,266420.03,511799.53,542183.62,0
161,169066.31,0.0,0.0,842228.68,1011294.98,0
36,269709.16,0.0,0.0,469232.67,738941.84,0
11,40689.81,0.0,0.0,0.0,0.0,0
348,128682.59,0.0,0.0,204631.46,333314.05,0
204,3235.07,253125.0,249889.93,0.0,0.0,0
308,484260.8,327627.18,811887.98,3567229.29,3082968.49,0
255,328600.32,179.0,0.0,51739.7,380340.02,0
346,180219.37,4668822.53,4849041.9,870954.07,690734.7,0
331,543579.28,20906671.04,21450250.32,1124053.91,605687.42,0
727,276298.49,276298.49,0.0,598892.69,875191.19,1
93,195228.37,68684.99,0.0,6290276.61,6485504.98,0
397,415890.71,11282.0,0.0,95925.83,511816.54,0
141,95759.56,0.0,0.0,3651998.09,3747757.65,0
277,307745.81,46236.0,0.0,781494.82,1089240.63,0
205,55090.13,0.0,0.0,0.0,0.0,0
139,10593.67,3075939.38,3086533.05,137320.65,126726.97,0
162,29315.2,0.0,0.0,0.0,0.0,0
184,295003.53,0.0,0.0,4463174.42,4758177.96,0
257,5778.89,19131.0,13352.11,0.0,0.0,0
334,375639.66,6678887.6,7054527.27,1446746.2,1071106.54,0
277,615613.14,0.0,0.0,816450.56,1432063.7,0
183,83563.7,0.0,0.0,449915.61,775399.62,0
286,101170.5,18585149.73,18686320.23,261344.4,160173.9,0
205,823213.5,0.0,0.0,1714839.75,2538053.25,0
161,293774.11,88.0,293862.11,1384585.3,1188771.11,0
369,76955.54,50221.0,0.0,0.0,76955.54,0
397,1060.42,275637.12,274576.7,0.0,0.0,0
350,189224.63,1109317.83,1298542.47,463156.78,273932.15,0
44,6793.87,258736.69,251942.81,0.0,0.0,0
400,34410.6,72263.0,37852.4,0.0,0.0,0
185,18115.7,0.0,0.0,0.0,0.0,0
283,150585.4,24642.0,0.0,1371778.29,1522363.69,0
646,10000000.0,30399045.08,20399045.08,0.0,0.0,1
141,4437.06,0.0,0.0,0.0,0.0,0
522,32290.43,179067.95,146777.51,0.0,0.0,0
